source,class_folder,proposed_bengali,confirmed_bengali,selected_fingers,thumb,flexion,spread,contact,aperture,expert_confidence,notes
bdsl47_letters,Sign 24,ঢ,,I M R P,side,straight,together,none,na,low,"DRAFT (machine, from contact sheet — VERIFY): flat hand, fingers together, angled"
bdsl47_letters,Sign 25,ণ,,I M,side,bent,spread,none,na,low,"DRAFT (machine, from contact sheet — VERIFY): bent fingers / claw"
bdsl47_letters,Sign 26,ত,,I M R P,extended,curved,spread,none,open,low,"DRAFT (machine, from contact sheet — VERIFY): spread curved (claw-5)"
bdsl47_letters,Sign 27,থ,,I M R P,side,straight,together,none,na,low,"DRAFT (machine, from contact sheet — VERIFY): flat hand pointing forward"
bdsl47_letters,Sign 28,দ,,none,opposed,curved,na,thumb-index,tight-O,low,"DRAFT (machine, from contact sheet — VERIFY): pinch/O pointing down (dark)"
bdsl47_letters,Sign 29,ধ,,none,side,fist,na,none,closed,low,"DRAFT (machine, from contact sheet — VERIFY): fist + thumb"
bdsl47_letters,Sign 30,ন,,I M R,tucked,straight,spread,none,na,low,"DRAFT (machine, from contact sheet — VERIFY): three fingers up"
bdsl47_letters,Sign 31,প,,I,tucked,straight,na,none,na,low,"DRAFT (machine, from contact sheet — VERIFY): single index"
bdsl47_letters,Sign 32,ফ,,I,extended,straight,na,none,na,low,"DRAFT (machine, from contact sheet — VERIFY): index up, thumb extended (L)"
bdsl47_letters,Sign 33,ব,,I M,opposed,curved,together,thumb-index,tight-O,low,"DRAFT (machine, from contact sheet — VERIFY): pinched fingers up"
bdsl47_letters,Sign 34,ভ,,I M,tucked,straight,spread,none,na,low,"DRAFT (machine, from contact sheet — VERIFY): two fingers up"
bdsl47_letters,Sign 35,ম,,I M R P,side,straight,together,none,na,low,"DRAFT (machine, from contact sheet — VERIFY): flat hand fingers together"
bdsl47_letters,Sign 36,য,,none,across,fist,na,none,closed,low,"DRAFT (machine, from contact sheet — VERIFY): fist"
